tiempo,Susceptibles,Expuestos,Asintomáticos (I0),Modedados (I1),Severos (I2),Críticos (I3),Recuperados (R),Muertos (D),Muertes naturales(NR)
2020-03-28,16.58157670326,3.86275636077136,34263.5342672832,68078.6726574591,44522.2505903188,13364.3285048831,94622.80335151551,226.35730869338798,342.171196891767
2020-03-29,13.486430219700802,3.09431740472404,32491.0922389574,67253.92143212269,45096.79172453639,13757.686693658,97364.4087293612,239.721637198271,350.821223921693
2020-03-30,10.9992735333399,2.4864823648498597,30809.8903214994,66406.05602810139,45637.204118104404,14144.674119353998,100099.774402816,253.47932389192903,359.75686894127404
2020-03-31,8.994672685656699,2.0040508840065603,29215.3258559233,65537.86554651741,46143.7564161892,14524.7885149297,102827.504529061,267.623998011283,368.97814307280504
2020-04-01,7.37432622056915,1.61989673145327,27703.0075668008,64651.9588034638,46616.7787378779,14897.560193076899,105546.277913505,282.148786526213,378.48487843854105
2020-04-03,6.060923199122519,1.3130343051356002,26268.7507489944,63750.7738828016,47056.6567796776,15262.551857288501,108254.84510824301,297.04634671929,388.276737232957
2020-04-04,4.99345302471382,1.06716712824875,24908.571252309703,62836.587338567995,47463.8262958228,15619.3582789001,110952.02559984599,312.308898576578,398.353220450776
2020-04-05,4.12360968012393,0.8695936719386558,23618.678683687,61911.5230262242,47838.767937655306,15967.6058562426,113636.70508710801,327.92825685547797,408.713676280417
2020-04-06,3.41302433085648,0.7103791687834391,22395.4691334671,60977.5605527097,48182.0024342655,16306.952070771598,116307.832848463,343.89586271172095,419.357308172863
2020-04-07,2.8311274396926005,0.581726239947335,21235.5176492108,60036.5433429944,48494.0860967744,16637.084853835902,118964.41919807301,360.202814782492,430.283182596061
2020-04-08,2.35349115347431,0.47749472984631003,20135.5706193585,59090.186326323,48775.6066290097,16957.7218766105,121605.53302914901,376.83989963632797,441.49023648500605
2020-04-10,1.96053950921745,0.39283396969918,19092.5381838331,58140.0832492301,49027.1792278272,17268.609774646102,124230.299442678,393.797621512939,452.97728439761704
2020-04-11,1.63654139017299,0.323900092069007,18103.4867552389,57187.713625085096,49249.4429569092,17569.5233174906,126837.897459521,411.06623128758497,464.74302538631105
